iter,loss,Acc,mean image rate
730,3.506,0.246,1053.598 img/s).
731,3.21,0.238,1112.031 img/s).
732,3.123,0.297,960.477 img/s).
733,3.371,0.27,761.312 img/s).
734,3.252,0.258,777.891 img/s).
735,3.186,0.262,682.507 img/s).
736,3.343,0.258,685.951 img/s).
737,3.334,0.277,762.217 img/s).
738,3.305,0.258,742.261 img/s).
739,3.257,0.25,732.373 img/s).
740,3.414,0.262,757.164 img/s).
741,3.427,0.25,733.080 img/s).
742,3.428,0.227,753.025 img/s).
743,3.34,0.266,751.783 img/s).
744,3.264,0.262,721.629 img/s).
745,3.462,0.277,708.647 img/s).
746,3.246,0.254,729.005 img/s).
747,3.09,0.312,747.811 img/s).
748,3.417,0.238,744.929 img/s).
749,3.319,0.234,714.855 img/s).
750,3.597,0.23,816.542 img/s).
751,3.497,0.23,627.271 img/s).
752,3.518,0.223,801.797 img/s).
753,3.249,0.27,636.376 img/s).
754,3.368,0.199,773.848 img/s).
755,3.039,0.293,739.460 img/s).
756,3.366,0.277,750.892 img/s).
757,3.361,0.266,760.923 img/s).
758,3.122,0.289,759.324 img/s).
759,3.414,0.223,749.083 img/s).
760,3.293,0.277,764.995 img/s).
761,3.35,0.254,740.324 img/s).
762,3.39,0.27,769.292 img/s).
763,3.201,0.266,753.604 img/s).
764,3.328,0.289,742.902 img/s).
765,3.265,0.285,764.725 img/s).
766,3.354,0.223,137.650 img/s).
767,3.345,0.262,791.393 img/s).
768,2.978,0.375,703.678 img/s).
769,3.342,0.242,730.249 img/s).
770,3.18,0.301,770.697 img/s).
771,3.244,0.316,786.679 img/s).
772,3.302,0.258,757.224 img/s).
773,3.532,0.223,694.102 img/s).
774,3.32,0.254,715.430 img/s).
775,3.473,0.258,656.473 img/s).
776,3.429,0.191,728.012 img/s).
777,3.206,0.266,652.439 img/s).
778,3.444,0.262,759.560 img/s).
779,3.413,0.25,712.661 img/s).
780,3.627,0.266,738.110 img/s).
781,3.316,0.266,667.902 img/s).
782,3.335,0.23,789.194 img/s).
783,3.603,0.211,671.088 img/s).
784,3.219,0.305,749.631 img/s).
785,3.461,0.254,667.486 img/s).
786,3.288,0.238,763.772 img/s).
787,3.507,0.266,742.189 img/s).
788,3.414,0.242,779.723 img/s).
789,3.318,0.266,760.911 img/s).
790,3.359,0.223,625.613 img/s).
791,3.285,0.277,733.324 img/s).
792,3.34,0.262,768.670 img/s).
793,3.661,0.199,725.062 img/s).
794,3.357,0.262,778.590 img/s).
795,3.383,0.273,760.765 img/s).
796,3.247,0.285,668.888 img/s).
797,3.397,0.254,788.861 img/s).
798,3.42,0.254,794.316 img/s).
799,3.44,0.219,728.375 img/s).
800,3.572,0.254,674.633 img/s).
801,3.054,0.305,780.435 img/s).
802,3.453,0.211,756.878 img/s).
803,3.249,0.27,648.775 img/s).
804,3.309,0.258,632.147 img/s).
805,3.355,0.246,757.665 img/s).
806,3.354,0.266,665.102 img/s).
807,3.282,0.281,658.305 img/s).
808,3.183,0.254,746.999 img/s).
809,3.624,0.223,725.301 img/s).
810,3.281,0.246,629.792 img/s).
811,3.267,0.285,706.798 img/s).
812,3.367,0.215,750.734 img/s).
813,3.338,0.223,736.732 img/s).
814,3.257,0.281,747.109 img/s).
815,3.32,0.234,734.003 img/s).
816,3.305,0.254,580.156 img/s).
817,3.636,0.238,792.273 img/s).
818,3.289,0.262,695.199 img/s).
819,3.171,0.301,741.003 img/s).
820,3.46,0.254,766.951 img/s).
821,3.416,0.27,744.287 img/s).
822,3.249,0.281,735.098 img/s).
823,3.274,0.27,692.480 img/s).
824,3.522,0.246,693.820 img/s).
825,3.57,0.238,742.052 img/s).
826,3.378,0.262,786.853 img/s).
827,3.515,0.203,716.410 img/s).
828,3.189,0.309,741.115 img/s).
829,3.472,0.258,748.829 img/s).
830,3.092,0.305,737.899 img/s).
831,3.046,0.324,807.866 img/s).
832,3.257,0.281,654.938 img/s).
833,3.268,0.316,741.605 img/s).
834,3.237,0.293,731.601 img/s).
835,3.406,0.238,780.441 img/s).
836,3.394,0.258,736.825 img/s).
837,3.291,0.254,796.854 img/s).
838,3.292,0.211,697.519 img/s).
839,3.419,0.227,747.791 img/s).
840,3.061,0.289,720.595 img/s).
841,3.477,0.242,742.573 img/s).
842,3.29,0.289,710.644 img/s).
843,3.181,0.27,783.549 img/s).
844,3.464,0.254,696.421 img/s).
845,3.268,0.277,721.544 img/s).
846,3.641,0.207,784.858 img/s).
847,3.331,0.277,620.937 img/s).
848,3.501,0.203,761.744 img/s).
849,3.479,0.27,795.079 img/s).
850,3.392,0.277,773.531 img/s).
851,3.286,0.309,564.078 img/s).
852,3.387,0.27,769.829 img/s).
853,3.195,0.27,763.447 img/s).
854,3.294,0.254,748.360 img/s).
855,3.803,0.18,697.326 img/s).
856,3.233,0.277,691.170 img/s).
857,3.406,0.262,721.740 img/s).
858,3.706,0.203,725.594 img/s).
859,3.516,0.238,772.167 img/s).
860,3.188,0.297,796.201 img/s).
861,3.631,0.195,725.285 img/s).
862,3.268,0.285,733.557 img/s).
863,3.473,0.262,727.233 img/s).
864,3.384,0.27,691.075 img/s).
865,3.507,0.266,684.702 img/s).
866,3.345,0.246,713.558 img/s).
867,3.412,0.281,757.581 img/s).
868,3.589,0.219,708.707 img/s).
869,3.092,0.301,764.782 img/s).
870,3.395,0.258,736.241 img/s).
871,3.263,0.238,671.850 img/s).
872,3.138,0.246,700.491 img/s).
873,3.266,0.258,760.654 img/s).
874,2.975,0.301,768.980 img/s).
875,3.275,0.277,791.372 img/s).
876,3.477,0.258,675.649 img/s).
877,3.463,0.246,825.690 img/s).
878,3.421,0.223,778.211 img/s).
879,3.53,0.254,663.935 img/s).
880,3.219,0.27,685.465 img/s).
881,3.359,0.273,811.307 img/s).
882,3.329,0.281,672.264 img/s).
883,3.439,0.273,772.720 img/s).
884,3.502,0.234,741.712 img/s).
885,3.535,0.246,21.794 img/s).
886,3.27,0.27,865.118 img/s).
887,3.334,0.273,1035.206 img/s).
888,3.333,0.25,1064.296 img/s).
889,3.224,0.305,1059.026 img/s).
890,3.281,0.285,1038.765 img/s).
891,3.531,0.242,916.436 img/s).
892,3.183,0.312,1046.973 img/s).
893,3.379,0.277,1045.982 img/s).
894,3.498,0.227,1087.589 img/s).
895,3.673,0.219,1039.490 img/s).
896,3.328,0.273,954.614 img/s).
897,3.349,0.25,732.622 img/s).
898,3.477,0.242,787.698 img/s).
899,3.251,0.258,681.940 img/s).
900,3.569,0.223,768.931 img/s).
901,3.473,0.211,743.879 img/s).
902,3.174,0.285,678.713 img/s).
903,3.317,0.273,739.926 img/s).
904,3.349,0.246,758.060 img/s).
905,3.417,0.254,782.830 img/s).
906,3.477,0.234,732.311 img/s).
907,3.609,0.227,769.562 img/s).
908,3.36,0.266,741.340 img/s).
909,2.98,0.355,713.977 img/s).
910,3.586,0.211,757.944 img/s).
911,3.258,0.277,802.042 img/s).
912,3.692,0.223,665.206 img/s).
913,3.245,0.301,747.688 img/s).
914,3.283,0.293,756.630 img/s).
915,3.097,0.285,631.164 img/s).
916,3.178,0.312,720.368 img/s).
917,3.393,0.277,770.738 img/s).
918,3.351,0.223,783.245 img/s).
919,3.222,0.297,740.402 img/s).
920,3.401,0.246,774.526 img/s).
921,3.409,0.277,748.594 img/s).
922,3.39,0.227,817.863 img/s).
923,3.613,0.207,740.598 img/s).
924,3.298,0.273,733.111 img/s).
925,3.375,0.281,770.883 img/s).
926,3.32,0.289,763.887 img/s).
927,3.51,0.242,754.924 img/s).
928,3.428,0.266,739.744 img/s).
929,3.674,0.227,647.242 img/s).
930,3.311,0.297,731.519 img/s).
931,3.215,0.227,723.704 img/s).
932,3.638,0.223,742.054 img/s).
933,3.227,0.258,755.097 img/s).
934,3.158,0.297,593.267 img/s).
935,3.323,0.254,621.263 img/s).
936,3.363,0.258,732.086 img/s).
937,3.4,0.238,805.874 img/s).
938,3.392,0.266,739.509 img/s).
939,3.255,0.309,743.573 img/s).
940,3.232,0.293,699.930 img/s).
941,3.378,0.258,781.776 img/s).
942,3.339,0.25,731.264 img/s).
943,3.349,0.242,674.225 img/s).
944,3.539,0.176,703.960 img/s).
945,3.311,0.297,714.332 img/s).
946,3.328,0.27,761.947 img/s).
947,3.266,0.273,778.423 img/s).
948,3.304,0.27,698.770 img/s).
949,3.344,0.246,747.115 img/s).
950,3.164,0.293,778.193 img/s).
951,3.327,0.273,793.503 img/s).
952,3.38,0.262,728.734 img/s).
953,3.274,0.301,778.563 img/s).
954,3.549,0.211,715.411 img/s).
955,3.215,0.273,763.001 img/s).
956,3.373,0.266,773.325 img/s).
957,3.663,0.203,567.513 img/s).
958,3.36,0.262,776.761 img/s).
959,3.402,0.273,787.324 img/s).
960,3.257,0.25,788.144 img/s).
961,3.224,0.266,737.886 img/s).
962,3.324,0.238,758.285 img/s).
963,3.487,0.25,750.902 img/s).
964,3.347,0.246,802.427 img/s).
965,3.287,0.285,774.465 img/s).
966,3.226,0.281,741.431 img/s).
967,3.289,0.277,574.470 img/s).
968,3.634,0.223,766.121 img/s).
969,3.309,0.277,756.719 img/s).
970,3.312,0.25,792.755 img/s).
971,3.22,0.277,636.943 img/s).
972,3.295,0.285,762.361 img/s).
973,3.257,0.258,743.271 img/s).
974,3.241,0.273,655.991 img/s).
975,3.251,0.297,813.597 img/s).
976,3.357,0.262,721.481 img/s).
977,3.468,0.25,786.574 img/s).
978,3.457,0.242,727.269 img/s).
979,3.441,0.219,746.086 img/s).
980,3.365,0.254,770.021 img/s).
981,3.218,0.242,749.925 img/s).
982,3.59,0.215,754.281 img/s).
983,3.144,0.305,721.418 img/s).
984,3.503,0.223,786.527 img/s).
985,3.209,0.305,608.248 img/s).
986,3.163,0.309,776.330 img/s).
987,3.348,0.266,773.299 img/s).
988,3.345,0.305,669.438 img/s).
989,3.493,0.281,724.747 img/s).
990,3.313,0.262,732.961 img/s).
991,3.634,0.23,739.541 img/s).
992,3.431,0.262,704.150 img/s).
993,3.493,0.277,729.247 img/s).
994,3.588,0.238,790.395 img/s).
995,3.159,0.305,592.045 img/s).
996,3.359,0.246,754.320 img/s).
997,3.292,0.281,748.841 img/s).
998,3.495,0.254,756.216 img/s).
999,3.279,0.25,629.929 img/s).
1000,3.214,0.316,762.432 img/s).
1001,3.479,0.219,778.646 img/s).
1002,3.265,0.238,697.756 img/s).
1003,3.461,0.281,705.020 img/s).
1004,3.542,0.262,748.200 img/s).
1005,3.254,0.324,806.311 img/s).
1006,3.402,0.262,674.065 img/s).
1007,3.363,0.266,738.721 img/s).
1008,3.402,0.258,748.277 img/s).
1009,3.391,0.262,745.616 img/s).
1010,3.234,0.301,783.204 img/s).
1011,3.291,0.285,675.907 img/s).
1012,3.263,0.297,775.394 img/s).
1013,3.513,0.266,545.369 img/s).
1014,3.442,0.266,704.377 img/s).
1015,3.236,0.277,776.734 img/s).
1016,3.557,0.211,730.589 img/s).
1017,3.48,0.23,744.258 img/s).
1018,3.222,0.273,726.916 img/s).
1019,3.517,0.25,788.960 img/s).
1020,3.425,0.262,678.278 img/s).
1021,3.52,0.262,735.404 img/s).
1022,3.413,0.262,741.637 img/s).
1023,3.236,0.262,734.442 img/s).
1024,3.43,0.277,774.590 img/s).
1025,3.191,0.277,763.709 img/s).
1026,3.347,0.258,809.282 img/s).
1027,3.376,0.258,765.909 img/s).
1028,3.284,0.305,603.525 img/s).
1029,3.339,0.27,764.666 img/s).
1030,3.313,0.238,732.659 img/s).
1031,3.733,0.188,749.728 img/s).
1032,3.357,0.25,764.473 img/s).
1033,3.122,0.266,737.795 img/s).
1034,3.232,0.293,714.045 img/s).
1035,3.26,0.273,701.202 img/s).
1036,3.395,0.273,714.887 img/s).
1037,3.222,0.305,766.272 img/s).
1038,3.224,0.223,779.282 img/s).
1039,3.291,0.312,746.184 img/s).
1040,3.232,0.281,757.098 img/s).
1041,3.446,0.242,772.279 img/s).
1042,3.13,0.289,676.493 img/s).
1043,3.524,0.23,814.106 img/s).
1044,3.244,0.262,723.092 img/s).
1045,3.472,0.273,767.751 img/s).
1046,3.568,0.242,762.369 img/s).
1047,3.323,0.25,738.358 img/s).
1048,3.362,0.258,807.066 img/s).
1049,3.37,0.273,712.634 img/s).
1050,3.298,0.281,798.119 img/s).
1051,3.522,0.273,22.683 img/s).
1052,3.295,0.281,916.111 img/s).
1053,3.354,0.258,1042.404 img/s).
1054,3.485,0.266,1084.074 img/s).
1055,3.177,0.277,1141.853 img/s).
1056,3.367,0.25,1044.563 img/s).
1057,3.296,0.246,1089.691 img/s).
1058,3.385,0.254,1038.653 img/s).
1059,3.344,0.277,967.595 img/s).
1060,3.293,0.285,647.975 img/s).
1061,3.145,0.32,705.129 img/s).
1062,3.589,0.254,775.697 img/s).
1063,3.392,0.219,746.333 img/s).
1064,3.458,0.254,743.166 img/s).
1065,3.368,0.293,738.012 img/s).
1066,3.109,0.355,740.167 img/s).
1067,3.302,0.312,747.671 img/s).
1068,3.466,0.293,779.683 img/s).
1069,3.485,0.262,743.374 img/s).
1070,3.412,0.254,803.894 img/s).
1071,3.407,0.23,733.825 img/s).
1072,3.472,0.227,712.098 img/s).
1073,3.47,0.246,729.717 img/s).
1074,3.217,0.293,776.157 img/s).
1075,3.454,0.23,726.456 img/s).
1076,3.353,0.254,664.590 img/s).
1077,3.33,0.266,749.211 img/s).
1078,3.445,0.27,791.685 img/s).
1079,3.363,0.309,740.419 img/s).
1080,3.405,0.242,765.947 img/s).
1081,3.555,0.223,748.319 img/s).
1082,3.354,0.285,512.010 img/s).
1083,3.241,0.309,760.594 img/s).
1084,3.352,0.301,753.004 img/s).
1085,3.483,0.242,814.345 img/s).
1086,3.284,0.273,660.793 img/s).
1087,2.977,0.316,759.811 img/s).
1088,3.415,0.297,547.695 img/s).
1089,3.164,0.312,716.981 img/s).
1090,3.359,0.246,782.663 img/s).
1091,3.551,0.234,684.180 img/s).
1092,3.148,0.301,778.692 img/s).
1093,3.323,0.273,763.791 img/s).
1094,3.31,0.281,772.020 img/s).
1095,3.657,0.254,705.628 img/s).
1096,3.548,0.219,714.355 img/s).
1097,3.362,0.266,736.235 img/s).
1098,3.521,0.203,742.323 img/s).
1099,3.48,0.266,769.290 img/s).
1100,3.213,0.27,723.991 img/s).
1101,3.092,0.293,762.881 img/s).
1102,3.321,0.262,742.073 img/s).
1103,3.592,0.258,739.507 img/s).
1104,3.29,0.293,749.170 img/s).
1105,3.404,0.277,716.059 img/s).
1106,3.448,0.238,752.553 img/s).
1107,3.522,0.262,770.464 img/s).
1108,3.061,0.316,766.354 img/s).
1109,3.718,0.227,755.344 img/s).
1110,3.436,0.258,737.650 img/s).
1111,3.26,0.312,725.232 img/s).
1112,3.276,0.27,689.492 img/s).
1113,3.529,0.227,451.455 img/s).
1114,3.267,0.316,686.635 img/s).
1115,3.423,0.242,751.996 img/s).
1116,3.363,0.273,718.537 img/s).
1117,3.415,0.234,701.730 img/s).
1118,3.299,0.25,763.173 img/s).
1119,3.344,0.234,768.269 img/s).
1120,3.349,0.289,765.818 img/s).
1121,3.334,0.312,717.821 img/s).
1122,3.348,0.277,776.486 img/s).
1123,3.351,0.262,755.302 img/s).
1124,3.408,0.273,784.388 img/s).
1125,3.433,0.281,756.788 img/s).
1126,3.398,0.254,728.612 img/s).
1127,3.605,0.254,607.280 img/s).
1128,3.449,0.262,734.345 img/s).
1129,3.186,0.285,753.677 img/s).
1130,3.419,0.258,756.547 img/s).
1131,3.417,0.289,755.186 img/s).
1132,3.557,0.227,657.796 img/s).
1133,3.035,0.285,774.766 img/s).
1134,3.008,0.312,721.244 img/s).
1135,3.238,0.266,730.745 img/s).
1136,3.522,0.223,770.392 img/s).
1137,3.288,0.312,707.012 img/s).
1138,3.221,0.277,779.493 img/s).
1139,3.357,0.293,741.485 img/s).
1140,3.378,0.273,769.557 img/s).
1141,3.386,0.25,723.739 img/s).
1142,3.288,0.281,703.247 img/s).
1143,3.346,0.262,721.486 img/s).
1144,3.243,0.25,721.813 img/s).
1145,3.237,0.277,775.351 img/s).
1146,3.419,0.25,763.296 img/s).
1147,3.597,0.203,744.394 img/s).
1148,3.49,0.246,683.514 img/s).
1149,3.287,0.305,721.607 img/s).
1150,3.315,0.289,707.013 img/s).
1151,3.42,0.289,812.390 img/s).
1152,3.145,0.258,738.987 img/s).
1153,3.58,0.238,623.339 img/s).
1154,3.342,0.266,733.602 img/s).
1155,3.421,0.273,775.800 img/s).
1156,3.235,0.293,714.112 img/s).
1157,3.183,0.234,737.549 img/s).
1158,3.407,0.273,726.653 img/s).
1159,3.497,0.254,768.359 img/s).
1160,3.242,0.262,754.595 img/s).
1161,3.492,0.234,601.731 img/s).
1162,3.203,0.266,765.470 img/s).
1163,3.501,0.238,787.977 img/s).
1164,3.361,0.297,745.662 img/s).
1165,3.588,0.227,687.202 img/s).
1166,3.377,0.238,774.693 img/s).
1167,3.512,0.254,629.740 img/s).
1168,3.441,0.262,711.598 img/s).
1169,3.414,0.277,760.243 img/s).
1170,3.373,0.289,770.418 img/s).
1171,3.449,0.238,765.544 img/s).
1172,3.487,0.242,775.966 img/s).
1173,3.4,0.238,734.286 img/s).
1174,3.423,0.238,784.925 img/s).
1175,3.181,0.277,732.443 img/s).
1176,3.562,0.195,793.973 img/s).
1177,3.113,0.293,714.631 img/s).
1178,3.315,0.277,759.027 img/s).
1179,3.538,0.223,750.345 img/s).
1180,3.286,0.293,761.307 img/s).
1181,3.31,0.285,765.675 img/s).
1182,3.38,0.262,686.578 img/s).
1183,3.359,0.25,824.700 img/s).
1184,3.297,0.281,684.525 img/s).
1185,3.509,0.266,751.286 img/s).
1186,3.472,0.254,765.951 img/s).
1187,3.546,0.254,785.404 img/s).
1188,3.404,0.266,765.594 img/s).
1189,3.433,0.258,756.397 img/s).
1190,3.486,0.25,757.371 img/s).
1191,3.388,0.25,774.564 img/s).
1192,3.324,0.316,728.992 img/s).
1193,3.404,0.258,747.076 img/s).
1194,3.55,0.242,782.639 img/s).
1195,3.367,0.25,772.065 img/s).
1196,3.303,0.246,701.694 img/s).
1197,3.274,0.285,740.443 img/s).
1198,3.487,0.27,757.016 img/s).
1199,3.281,0.266,790.271 img/s).
1200,3.336,0.242,718.889 img/s).
1201,3.458,0.242,707.951 img/s).
1202,3.521,0.207,741.181 img/s).
1203,3.287,0.258,760.073 img/s).
1204,3.347,0.246,592.233 img/s).
1205,3.33,0.277,757.249 img/s).
1206,3.191,0.324,747.528 img/s).
1207,3.294,0.281,791.502 img/s).
1208,3.827,0.215,793.346 img/s).
1209,3.553,0.219,808.674 img/s).
1210,3.34,0.266,723.543 img/s).
1211,3.369,0.289,786.183 img/s).
1212,3.245,0.281,770.232 img/s).
1213,3.232,0.289,828.032 img/s).
1214,3.241,0.289,819.694 img/s).
1215,3.227,0.293,740.211 img/s).
1216,3.353,0.262,698.994 img/s).
1217,3.365,0.316,30.013 img/s).
1218,3.432,0.227,237.000 img/s).
1219,3.322,0.27,852.879 img/s).
1220,3.236,0.27,737.828 img/s).
1221,3.369,0.25,760.372 img/s).
1222,3.624,0.191,768.274 img/s).
1223,3.43,0.273,759.318 img/s).
1224,3.103,0.305,718.984 img/s).
1225,3.165,0.328,769.738 img/s).
1226,3.242,0.301,747.606 img/s).
1227,3.37,0.305,784.067 img/s).
1228,3.372,0.238,670.361 img/s).
1229,3.481,0.266,625.564 img/s).
1230,3.407,0.27,795.484 img/s).
1231,3.287,0.301,777.477 img/s).
1232,3.5,0.223,753.461 img/s).
1233,3.255,0.289,739.309 img/s).
1234,3.366,0.219,727.513 img/s).
1235,3.301,0.312,716.263 img/s).
1236,3.297,0.285,702.113 img/s).
1237,3.524,0.258,741.527 img/s).
1238,3.383,0.262,646.559 img/s).
1239,3.475,0.27,791.115 img/s).
1240,3.562,0.246,781.130 img/s).
1241,3.459,0.277,766.153 img/s).
1242,3.272,0.297,760.712 img/s).
1243,3.345,0.25,790.472 img/s).
1244,3.318,0.297,719.763 img/s).
1245,3.255,0.27,712.431 img/s).
1246,3.423,0.262,726.574 img/s).
1247,3.242,0.262,740.161 img/s).
1248,3.283,0.25,689.367 img/s).
1249,3.035,0.316,724.883 img/s).
1250,3.114,0.316,687.605 img/s).
1251,3.432,0.234,767.781 img/s).
1252,3.358,0.262,678.563 img/s).
1253,3.177,0.312,684.029 img/s).
1254,3.316,0.27,673.491 img/s).
1255,3.324,0.273,723.411 img/s).
1256,3.212,0.297,728.028 img/s).
1257,3.349,0.262,740.130 img/s).
1258,3.235,0.281,687.789 img/s).
1259,3.37,0.309,749.166 img/s).
1260,3.505,0.211,722.773 img/s).
1261,3.267,0.277,776.371 img/s).
1262,3.337,0.23,773.321 img/s).
1263,3.291,0.293,705.647 img/s).
1264,3.15,0.285,782.375 img/s).
1265,3.443,0.215,748.877 img/s).
1266,3.123,0.316,601.650 img/s).
1267,3.271,0.277,754.406 img/s).
1268,3.384,0.27,811.837 img/s).
1269,3.2,0.32,735.004 img/s).
1270,3.34,0.281,723.958 img/s).
1271,3.375,0.305,778.579 img/s).
1272,3.341,0.293,689.053 img/s).
1273,3.315,0.297,791.826 img/s).
1274,3.364,0.242,744.267 img/s).
1275,3.3,0.316,752.819 img/s).
1276,3.248,0.254,748.492 img/s).
1277,3.469,0.25,770.567 img/s).
1278,3.236,0.277,756.554 img/s).
1279,3.257,0.293,757.259 img/s).
1280,3.412,0.27,655.896 img/s).
1281,3.14,0.301,734.721 img/s).
1282,3.418,0.266,799.330 img/s).
1283,3.236,0.285,758.479 img/s).
1284,3.062,0.34,733.584 img/s).
1285,3.435,0.234,735.181 img/s).
1286,3.404,0.262,779.128 img/s).
1287,3.422,0.238,706.233 img/s).
1288,3.476,0.273,758.425 img/s).
1289,3.49,0.242,739.862 img/s).
1290,3.603,0.238,768.006 img/s).
1291,3.42,0.27,757.959 img/s).
1292,3.202,0.266,793.359 img/s).
1293,3.495,0.227,695.431 img/s).
1294,3.434,0.234,685.657 img/s).
1295,3.362,0.27,668.978 img/s).
1296,3.187,0.316,715.304 img/s).
1297,3.295,0.316,709.420 img/s).
1298,3.154,0.316,471.183 img/s).
1299,3.539,0.277,756.599 img/s).
1300,3.344,0.25,714.621 img/s).
1301,3.489,0.246,778.503 img/s).
1302,3.459,0.266,785.252 img/s).
1303,3.356,0.246,660.900 img/s).
1304,3.391,0.227,745.990 img/s).
1305,3.563,0.223,772.193 img/s).
1306,3.313,0.277,764.794 img/s).
1307,3.122,0.293,732.691 img/s).
1308,3.366,0.25,792.418 img/s).
1309,3.134,0.332,711.991 img/s).
1310,3.28,0.32,694.047 img/s).
1311,3.175,0.312,740.690 img/s).
1312,3.263,0.277,774.514 img/s).
1313,3.047,0.348,753.303 img/s).
1314,3.317,0.246,723.054 img/s).
1315,3.083,0.285,789.383 img/s).
1316,3.279,0.301,680.999 img/s).
1317,3.49,0.262,774.299 img/s).
1318,3.235,0.312,726.146 img/s).
1319,3.223,0.301,795.788 img/s).
1320,3.445,0.273,742.429 img/s).
1321,3.324,0.281,835.144 img/s).
1322,3.264,0.293,676.777 img/s).
1323,3.341,0.266,751.006 img/s).
1324,3.193,0.297,730.486 img/s).
1325,3.462,0.254,766.117 img/s).
1326,3.308,0.262,771.706 img/s).
1327,3.032,0.328,724.467 img/s).
1328,3.209,0.258,791.789 img/s).
1329,3.399,0.211,732.409 img/s).
1330,3.397,0.219,706.519 img/s).
1331,3.415,0.27,630.126 img/s).
1332,3.34,0.262,774.638 img/s).
1333,3.374,0.258,175.508 img/s).
1334,3.218,0.32,627.286 img/s).
1335,3.517,0.234,725.049 img/s).
1336,3.228,0.285,766.520 img/s).
1337,3.422,0.223,692.596 img/s).
1338,3.396,0.223,710.408 img/s).
1339,3.279,0.27,775.858 img/s).
1340,3.438,0.262,789.696 img/s).
1341,3.11,0.363,734.328 img/s).
1342,3.429,0.246,778.359 img/s).
1343,3.307,0.258,787.153 img/s).
1344,3.279,0.293,755.370 img/s).
1345,3.123,0.289,764.587 img/s).
1346,3.464,0.289,709.536 img/s).
1347,3.138,0.281,785.504 img/s).
1348,3.327,0.273,729.684 img/s).
1349,3.276,0.273,587.666 img/s).
1350,3.289,0.27,751.196 img/s).
1351,3.358,0.293,753.027 img/s).
1352,3.341,0.293,744.448 img/s).
1353,3.394,0.289,764.901 img/s).
1354,3.246,0.254,742.665 img/s).
1355,2.98,0.32,756.188 img/s).
1356,3.315,0.242,762.409 img/s).
1357,3.361,0.293,741.167 img/s).
1358,3.352,0.293,793.048 img/s).
1359,3.348,0.246,717.485 img/s).
1360,3.375,0.27,772.467 img/s).
1361,3.16,0.301,702.692 img/s).
1362,3.386,0.27,759.943 img/s).
1363,3.226,0.297,707.573 img/s).
1364,3.423,0.234,677.268 img/s).
1365,3.577,0.262,753.356 img/s).
1366,3.21,0.328,726.520 img/s).
1367,3.403,0.305,758.356 img/s).
1368,3.338,0.266,723.246 img/s).
1369,3.58,0.238,811.016 img/s).
1370,3.444,0.195,736.262 img/s).
1371,3.261,0.281,27.592 img/s).
1372,3.387,0.27,543.024 img/s).
1373,3.581,0.238,854.515 img/s).
1374,3.275,0.285,762.592 img/s).
1375,3.109,0.32,783.508 img/s).
1376,3.292,0.32,704.781 img/s).
1377,3.467,0.293,755.073 img/s).
1378,3.632,0.219,760.017 img/s).
1379,3.306,0.266,711.440 img/s).
1380,3.377,0.281,736.398 img/s).
1381,3.264,0.273,779.668 img/s).
1382,3.241,0.27,721.431 img/s).
1383,3.274,0.301,718.261 img/s).
1384,3.325,0.297,773.513 img/s).
1385,3.507,0.281,672.164 img/s).
1386,3.437,0.254,759.470 img/s).
1387,3.295,0.305,738.331 img/s).
1388,3.57,0.223,733.357 img/s).
1389,3.332,0.27,778.779 img/s).
1390,3.278,0.309,676.368 img/s).
1391,3.483,0.273,771.001 img/s).
1392,3.376,0.234,779.962 img/s).
1393,3.305,0.246,660.763 img/s).
1394,3.511,0.25,743.481 img/s).
1395,3.414,0.297,762.522 img/s).
1396,3.553,0.227,595.905 img/s).
1397,3.193,0.297,705.121 img/s).
1398,3.32,0.309,598.365 img/s).
1399,3.252,0.316,828.191 img/s).
1400,3.558,0.305,757.938 img/s).
1401,3.386,0.242,724.137 img/s).
1402,3.416,0.227,713.882 img/s).
1403,3.633,0.23,740.047 img/s).
1404,3.355,0.27,752.265 img/s).
1405,3.422,0.273,732.140 img/s).
1406,3.137,0.324,568.883 img/s).
1407,3.45,0.281,739.173 img/s).
1408,3.288,0.262,679.411 img/s).
1409,3.466,0.266,583.486 img/s).
1410,3.271,0.285,717.546 img/s).
1411,3.352,0.258,770.796 img/s).
1412,3.617,0.227,727.319 img/s).
1413,3.18,0.281,709.831 img/s).
1414,3.426,0.258,682.745 img/s).
1415,3.216,0.289,728.403 img/s).
1416,3.1,0.352,695.494 img/s).
1417,3.39,0.285,772.908 img/s).
1418,3.452,0.277,735.581 img/s).
1419,3.381,0.273,721.024 img/s).
1420,3.49,0.266,634.555 img/s).
1421,3.192,0.352,703.952 img/s).
1422,3.182,0.316,738.186 img/s).
1423,3.175,0.301,763.851 img/s).
1424,3.204,0.305,778.006 img/s).
1425,3.205,0.297,724.791 img/s).
1426,3.465,0.258,778.811 img/s).
1427,3.479,0.277,655.210 img/s).
1428,3.483,0.258,752.715 img/s).
1429,3.624,0.219,752.931 img/s).
1430,3.426,0.262,743.625 img/s).
1431,3.502,0.234,744.381 img/s).
1432,3.315,0.258,700.538 img/s).
1433,3.211,0.23,738.851 img/s).
1434,3.36,0.301,680.559 img/s).
1435,3.171,0.316,498.940 img/s).
1436,3.299,0.289,719.426 img/s).
1437,3.328,0.215,755.173 img/s).
1438,3.4,0.242,722.394 img/s).
1439,3.453,0.281,713.445 img/s).
1440,3.04,0.324,764.184 img/s).
