iter,loss,Acc,mean image rate
168,3.205,0.281,699.204 img/s).
169,3.157,0.293,757.208 img/s).
170,3.294,0.215,697.523 img/s).
171,3.441,0.273,688.195 img/s).
172,3.137,0.258,755.398 img/s).
173,3.219,0.23,706.737 img/s).
174,3.184,0.344,732.750 img/s).
175,3.528,0.191,718.190 img/s).
176,3.313,0.227,676.501 img/s).
177,3.389,0.246,776.534 img/s).
178,3.432,0.199,746.747 img/s).
179,3.33,0.23,654.528 img/s).
180,3.424,0.238,644.354 img/s).
181,3.501,0.23,728.510 img/s).
182,3.283,0.258,755.609 img/s).
183,3.373,0.207,765.165 img/s).
184,3.169,0.301,672.930 img/s).
185,3.356,0.207,665.430 img/s).
186,3.207,0.312,616.912 img/s).
187,3.393,0.234,713.260 img/s).
188,3.32,0.258,374.326 img/s).
189,3.26,0.227,662.730 img/s).
190,3.318,0.195,771.042 img/s).
191,3.421,0.254,708.479 img/s).
192,3.353,0.254,690.263 img/s).
193,3.165,0.293,729.073 img/s).
194,3.456,0.242,728.080 img/s).
195,3.281,0.262,615.536 img/s).
196,3.421,0.211,718.041 img/s).
197,3.488,0.215,757.156 img/s).
198,3.191,0.227,744.127 img/s).
199,3.336,0.246,693.625 img/s).
200,3.651,0.191,759.131 img/s).
201,3.182,0.23,737.712 img/s).
202,3.097,0.32,708.547 img/s).
203,3.164,0.277,677.089 img/s).
204,3.3,0.234,747.407 img/s).
205,3.12,0.254,611.188 img/s).
206,3.183,0.246,654.858 img/s).
207,3.361,0.234,728.442 img/s).
208,3.152,0.227,761.862 img/s).
209,3.27,0.254,731.815 img/s).
210,3.25,0.254,727.974 img/s).
211,3.247,0.234,725.956 img/s).
212,3.376,0.227,706.781 img/s).
213,3.138,0.262,738.770 img/s).
214,3.588,0.227,697.877 img/s).
215,3.557,0.219,717.373 img/s).
216,3.15,0.238,771.034 img/s).
217,3.408,0.199,669.323 img/s).
218,3.192,0.254,647.085 img/s).
219,3.281,0.238,764.719 img/s).
220,2.9,0.309,735.846 img/s).
221,3.271,0.234,743.272 img/s).
222,3.13,0.254,681.156 img/s).
223,3.082,0.289,733.079 img/s).
224,3.171,0.289,617.239 img/s).
225,3.087,0.277,784.886 img/s).
226,3.069,0.262,678.104 img/s).
227,3.207,0.219,730.241 img/s).
228,3.264,0.27,713.079 img/s).
229,3.234,0.238,746.396 img/s).
230,3.367,0.273,722.987 img/s).
231,3.341,0.277,759.571 img/s).
232,3.218,0.27,637.791 img/s).
233,3.168,0.262,738.978 img/s).
234,3.216,0.246,796.067 img/s).
235,3.055,0.281,693.005 img/s).
236,3.159,0.266,752.566 img/s).
237,3.185,0.258,733.198 img/s).
238,3.164,0.238,726.363 img/s).
239,3.144,0.246,779.388 img/s).
240,3.182,0.246,678.381 img/s).
241,3.448,0.238,733.954 img/s).
242,3.278,0.219,654.957 img/s).
243,3.023,0.301,698.459 img/s).
244,3.455,0.223,723.755 img/s).
245,3.281,0.234,812.066 img/s).
246,3.025,0.309,654.629 img/s).
247,3.266,0.285,780.656 img/s).
248,3.238,0.227,730.358 img/s).
249,3.176,0.281,748.427 img/s).
250,3.073,0.289,764.440 img/s).
251,3.105,0.254,765.368 img/s).
252,3.261,0.25,57.649 img/s).
253,3.005,0.285,44.671 img/s).
